BSSID,Channel,Privacy,Ciper,Auth,Power,ESSID,Lat,Lon
B8:AC:6F:43:78:75,-84,94:B4:0F:19:1C:22,None
B8:AC:6F:48:50:FC,-86,94:B4:0F:19:1C:22,None
BC:30:5B:A3:9B:EA,-86,94:B4:0F:19:1C:22,None
BC:30:5B:E2:E8:83,-86,94:B4:0F:19:1C:22,None
C8:F7:50:E4:63:5C,-86,94:B4:0F:19:1C:22,None
D4:BE:D9:8F:C2:E5,-84,94:B4:0F:19:1C:22,None
F0:1F:AF:52:64:9E,-86,94:B4:0F:19:1C:22,None
F0:4D:A2:28:63:EE,-86,94:B4:0F:19:1C:22,None
F8:BC:12:9F:1B:29,-88,94:B4:0F:19:1C:22,None
94:B4:0F:19:1C:23,-84,94:B4:0F:19:1C:23,None
94:B4:0F:19:37:41,-92,94:B4:0F:19:37:41,AEGUEST
B4:FB:E4:71:A0:EA,-50,B4:FB:E4:71:A0:EA,None
C4:04:15:4A:D7:CA,-94,C4:04:15:4A:D7:CA,BRMS-2.4G
E4:95:6E:0A:70:D0,-92,E4:95:6E:0A:70:D0,HOME_0A70D0_2G
F8:1D:0F:B8:C0:F8,-86,F8:1D:0F:B8:C0:F8,PROCESS_CONTROL_LAB
BC:3F:4E:24:18:AA,-46,FC:EC:DA:A4:52:34,NSL
FC:EC:DA:A4:52:34,-40,FC:EC:DA:A4:52:34,NSL
88:B1:11:6B:0F:17,-42,FE:EC:DA:A4:52:34,Starbucks 7310
9C:B6:D0:66:B5:B7,-42,FE:EC:DA:A4:52:34,Starbucks 7310
FE:EC:DA:A4:52:34,-38,FE:EC:DA:A4:52:34,Starbucks 7310
8C:85:90:24:2A:DF,-46,FE:EC:DA:A5:52:34,NSL
FE:EC:DA:A5:52:34,-48,FE:EC:DA:A5:52:34,NSL
